REGION_HIDROLOGICOADMINISTRATIVA,ENTIDAD_FEDERATIVA,CLAVE,ACUIFERO,Recarga_total_media_anual,Descarga_natural_media_anual,Volumen_consesionado_de_aguas_subterraneas,Volumen_de_extraccion_de_alumbramiento,Volumen_de_extraccion_de_agua_pendiente_de_titulacion,Volumen_de_agua_de_reserva,Disponibilidad_media_anual_positiva,Disponibilidad_media_anual_negativa(deficit)
VI RÍO BRAVO,NUEVO LEÓN,1901,LAMPAZOS-VILLALDAMA,20.5,8,12.399,13.385,0,0,0,-13.284
VI RÍO BRAVO,NUEVO LEÓN,1902,SABINAS-PARÁS,46,17.7,56.7675,47.7697,0,0,0,-76.2372
VI RÍO BRAVO,NUEVO LEÓN,1903,LAMPAZOS-ANÁHUAC,66.6,18,4.70475,5.93287,0.083385,0,37.878995,0
VI RÍO BRAVO,NUEVO LEÓN,1905,AGUALEGUAS-RAMONES,35.3,0,13.4232,16.9367,726,0,4.2141,0
VI RÍO BRAVO,NUEVO LEÓN,1906,ÁREA METROPOLITANA DE MONTERREY,143.7,45.8,102.017,7.38816,0.007718,0,0,-11.512878
VI RÍO BRAVO,NUEVO LEÓN,1907,CAMPO BUENOS AIRES,57,0,62.8004,0,0,0,0,-5.8004
VI RÍO BRAVO,NUEVO LEÓN,1908,CAMPO MINA,24,0,31.55,0.264803,0,0,0,-7.814803
VI RÍO BRAVO,NUEVO LEÓN,1909,CAMPO DURAZNO,9.6,0,9.01875,2.06167,0,0,0,-1.48042
VI RÍO BRAVO,NUEVO LEÓN,1910,CAMPO TOPO CHICO,3.5,0,3.23666,0,0,0,0.26334,0
VI RÍO BRAVO,NUEVO LEÓN,1911,CAÑÓN DEL HUAJUCO,26.8,0,28.701,0,0.0262,0,0,-1.9272
VI RÍO BRAVO,NUEVO LEÓN,1912,CITRÍCOLA NORTE,336.7,7.9,243.568,150.601,0.0216,0,0,-65.3906
VI RÍO BRAVO,NUEVO LEÓN,1913,CHINA-GENERAL BRAVO,23.9,0,9.90188,8.45543,0.606308,0,4.936382,0
VI RÍO BRAVO,NUEVO LEÓN,1914,CITRÍCOLA SUR,75.1,47.1,65.9489,51.2497,0,0,0,-89.1986
VI RÍO BRAVO,NUEVO LEÓN,1915,SOTO LA MARINA,84,73.1,9.5867,0.2021,0.0252,0,1.086,0
VI RÍO BRAVO,NUEVO LEÓN,1916,NAVIDAD-POTOSÍ-RAÍCES,88.8,0,161.516,0,0,0,0,-72.716
VI RÍO BRAVO,NUEVO LEÓN,1917,SANDIA-LA UNIÓN,25.8,0,27.3253,8.82511,0,0,0,-10.35041
VI RÍO BRAVO,NUEVO LEÓN,1918,CAMPO JARITAS,2.9,0,0,0.05106,106,0,2.74294,0
VI RÍO BRAVO,NUEVO LEÓN,1919,CAMPO CERRITOS,3,0,1.52866,3.01093,0,0,0,-1.53959
VI RÍO BRAVO,NUEVO LEÓN,1920,CAMPO PAPAGAYOS,2.5,0,1.69901,0.308056,0,0,0.492934,0
VI RÍO BRAVO,NUEVO LEÓN,1921,EL PEÑUELO-SAN JOSÉ EL PALMAR,9,0,0,0,0,0,9,0
VI RÍO BRAVO,NUEVO LEÓN,1922,SANTA RITA-CRUZ DE ELORZA,27.6,0,0.4488,0.967545,0,0,26.183655,0
VI RÍO BRAVO,NUEVO LEÓN,1923,DOCTOR ARROYO,13.4,0,1.01338,0.220752,0,0,12.165868,0
VI RÍO BRAVO,NUEVO LEÓN,1924,EL CARMEN-SALINAS-VICTORIA,53.9,6.2,51.1912,32.3706,0,0,0,-35.8618
